OrderID,ProductCategory,Supplier,Region,OrderValue,MarketingChannel,ReturnStatus,ReturnReason,OrderDate
ORD100048,Electronics,Supplier D,East,392.57,Email,Returned,,18-02-2024
ORD100049,Books,Supplier A,West,235.3,Ads,Not Returned,Wrong Item,19-02-2024
ORD100050,Toys,Supplier B,North,38.5,Ads,Returned,,20-02-2024
ORD100051,Clothing,Supplier B,West,497.48,Social Media,Returned,,21-02-2024
ORD100052,Clothing,Supplier B,South,38.31,Email,Returned,Changed Mind,22-02-2024
ORD100053,Electronics,Supplier D,North,350.57,Organic,Returned,,23-02-2024
ORD100054,Clothing,Supplier C,South,492,Social Media,Not Returned,,24-02-2024
ORD100055,Beauty,Supplier D,South,127.2,Organic,Not Returned,,25-02-2024
ORD100056,Clothing,Supplier A,North,79.7,Organic,Not Returned,,26-02-2024
ORD100057,Books,Supplier D,South,69.48,Email,Returned,,27-02-2024
ORD100058,Books,Supplier A,South,158.6,Ads,Returned,,28-02-2024
ORD100059,Books,Supplier D,West,59.51,Email,Returned,,29-02-2024
ORD100060,Books,Supplier C,East,349.16,Organic,Returned,,01-03-2024
ORD100061,Beauty,Supplier A,South,40.52,Social Media,Not Returned,,02-03-2024
ORD100062,Home & Kitchen,Supplier B,South,259.62,Organic,Returned,,03-03-2024
ORD100063,Toys,Supplier B,South,498.38,Social Media,Not Returned,,04-03-2024
ORD100064,Electronics,Supplier D,West,408.85,Social Media,Returned,,05-03-2024
ORD100065,Books,Supplier B,East,311.46,Email,Returned,Damaged,06-03-2024
ORD100066,Clothing,Supplier A,North,160.06,Organic,Not Returned,,07-03-2024
ORD100067,Books,Supplier B,West,315.71,Ads,Not Returned,,08-03-2024
ORD100068,Clothing,Supplier C,West,268.25,Organic,Returned,,09-03-2024
ORD100069,Toys,Supplier C,East,218.78,Organic,Returned,,10-03-2024
ORD100070,Toys,Supplier D,East,74.05,Ads,Not Returned,Damaged,11-03-2024
ORD100071,Toys,Supplier A,West,444.44,Email,Returned,,12-03-2024
ORD100072,Clothing,Supplier C,North,230.39,Organic,Returned,Late Delivery,13-03-2024
ORD100073,Books,Supplier C,West,105.37,Organic,Not Returned,,14-03-2024
ORD100074,Toys,Supplier A,East,190.2,Social Media,Not Returned,,15-03-2024
ORD100075,Beauty,Supplier B,North,212.92,Organic,Not Returned,,16-03-2024
ORD100076,Clothing,Supplier B,East,415.49,Ads,Not Returned,,17-03-2024
ORD100077,Clothing,Supplier D,North,369.47,Social Media,Not Returned,,18-03-2024
ORD100078,Books,Supplier B,South,386.96,Email,Not Returned,,19-03-2024
ORD100079,Clothing,Supplier A,East,15.41,Social Media,Not Returned,,20-03-2024
ORD100080,Clothing,Supplier C,East,213.92,Ads,Not Returned,,21-03-2024
ORD100081,Toys,Supplier B,West,245.86,Ads,Returned,,22-03-2024
ORD100082,Books,Supplier D,East,19.4,Social Media,Not Returned,,23-03-2024
ORD100083,Toys,Supplier B,East,137.31,Email,Not Returned,Changed Mind,24-03-2024
ORD100084,Toys,Supplier A,South,382.54,Social Media,Not Returned,,25-03-2024
ORD100085,Books,Supplier D,East,77.18,Email,Not Returned,,26-03-2024
ORD100086,Electronics,Supplier B,South,272.3,Social Media,Not Returned,,27-03-2024
ORD100087,Toys,Supplier D,South,115.45,Ads,Returned,Late Delivery,28-03-2024
ORD100088,Beauty,Supplier A,South,15.94,Organic,Not Returned,,29-03-2024
ORD100089,Beauty,Supplier C,South,128.19,Organic,Returned,,30-03-2024
ORD100090,Clothing,Supplier A,North,488.18,Email,Not Returned,Changed Mind,31-03-2024
ORD100091,Beauty,Supplier A,West,402.75,Email,Returned,,01-04-2024
ORD100092,Clothing,Supplier A,North,480.19,Email,Not Returned,,02-04-2024
ORD100093,Electronics,Supplier A,East,249.05,Ads,Returned,,03-04-2024
ORD100094,Books,Supplier C,North,63.77,Social Media,Not Returned,,04-04-2024
ORD100095,Books,Supplier C,North,278.5,Ads,Not Returned,,05-04-2024
ORD100096,Books,Supplier D,East,232.64,Organic,Returned,Changed Mind,06-04-2024
ORD100097,Beauty,Supplier B,East,423.73,Email,Not Returned,,07-04-2024
ORD100098,Electronics,Supplier C,East,58.06,Social Media,Not Returned,,08-04-2024
ORD100099,Beauty,Supplier C,North,249.24,Organic,Returned,,09-04-2024
ORD100100,Beauty,Supplier B,North,83.52,Organic,Not Returned,,10-04-2024
ORD100101,Electronics,Supplier C,East,169.09,Organic,Returned,,11-04-2024
ORD100102,Electronics,Supplier A,West,371.3,Ads,Not Returned,,12-04-2024
ORD100103,Electronics,Supplier A,West,243.25,Email,Not Returned,Wrong Item,13-04-2024
ORD100104,Electronics,Supplier B,South,194.19,Organic,Not Returned,,14-04-2024
ORD100105,Books,Supplier D,East,203.29,Email,Not Returned,,15-04-2024
ORD100106,Home & Kitchen,Supplier D,South,235.13,Ads,Not Returned,,16-04-2024
ORD100107,Home & Kitchen,Supplier B,West,394.66,Organic,Returned,,17-04-2024
ORD100108,Electronics,Supplier B,South,447.12,Ads,Not Returned,Changed Mind,18-04-2024
ORD100109,Home & Kitchen,Supplier A,East,478.11,Ads,Not Returned,,19-04-2024
ORD100110,Home & Kitchen,Supplier D,East,395.58,Email,Not Returned,,20-04-2024
ORD100111,Electronics,Supplier C,East,164.55,Organic,Not Returned,,21-04-2024
ORD100112,Home & Kitchen,Supplier A,North,347.19,Ads,Not Returned,,22-04-2024
ORD100113,Beauty,Supplier B,South,224.43,Organic,Not Returned,,23-04-2024
ORD100114,Clothing,Supplier D,West,134.79,Email,Not Returned,Late Delivery,24-04-2024
ORD100115,Clothing,Supplier C,West,422.03,Ads,Not Returned,,25-04-2024
ORD100116,Electronics,Supplier C,West,28.83,Email,Not Returned,Late Delivery,26-04-2024
ORD100117,Books,Supplier A,North,451.86,Organic,Returned,,27-04-2024
ORD100118,Electronics,Supplier D,North,236.12,Organic,Not Returned,Other,28-04-2024
ORD100119,Books,Supplier D,East,322.23,Email,Not Returned,Changed Mind,29-04-2024
ORD100120,Clothing,Supplier B,West,333.08,Social Media,Not Returned,,30-04-2024
ORD100121,Electronics,Supplier D,North,448.61,Ads,Returned,,01-05-2024
ORD100122,Toys,Supplier D,East,321.97,Organic,Not Returned,,02-05-2024
ORD100123,Beauty,Supplier A,West,310.83,Organic,Not Returned,,03-05-2024
ORD100124,Home & Kitchen,Supplier D,South,42.66,Ads,Not Returned,,04-05-2024
ORD100125,Books,Supplier C,East,264.02,Email,Returned,,05-05-2024
ORD100126,Toys,Supplier A,North,83.58,Email,Returned,,06-05-2024
ORD100127,Home & Kitchen,Supplier A,North,371.34,Email,Not Returned,Other,07-05-2024
ORD100128,Home & Kitchen,Supplier B,East,260.99,Social Media,Not Returned,,08-05-2024
ORD100129,Electronics,Supplier D,East,343.31,Social Media,Not Returned,,09-05-2024
ORD100130,Home & Kitchen,Supplier B,North,30.42,Organic,Not Returned,,10-05-2024
ORD100131,Beauty,Supplier C,South,51.55,Email,Returned,,11-05-2024
ORD100132,Toys,Supplier A,West,361,Ads,Not Returned,Damaged,12-05-2024
ORD100133,Home & Kitchen,Supplier A,South,45.32,Organic,Returned,Damaged,13-05-2024
ORD100134,Electronics,Supplier A,East,44.92,Ads,Not Returned,,14-05-2024
ORD100135,Beauty,Supplier C,South,15.93,Organic,Not Returned,,15-05-2024
ORD100136,Clothing,Supplier C,North,478.69,Social Media,Not Returned,Damaged,16-05-2024
ORD100137,Toys,Supplier B,East,371.38,Organic,Not Returned,,17-05-2024
ORD100138,Home & Kitchen,Supplier B,West,183.09,Social Media,Not Returned,,18-05-2024
ORD100139,Electronics,Supplier B,North,155.3,Organic,Not Returned,,19-05-2024
ORD100140,Clothing,Supplier D,North,181.35,Email,Returned,,20-05-2024
ORD100141,Clothing,Supplier A,West,389.58,Ads,Not Returned,Wrong Item,21-05-2024
ORD100142,Books,Supplier A,West,334.07,Email,Not Returned,,22-05-2024
ORD100143,Beauty,Supplier B,South,100.75,Organic,Returned,,23-05-2024
ORD100144,Home & Kitchen,Supplier A,East,95.31,Organic,Not Returned,,24-05-2024
ORD100145,Electronics,Supplier B,West,58.21,Organic,Not Returned,,25-05-2024
ORD100146,Books,Supplier D,West,333.55,Social Media,Not Returned,,26-05-2024
ORD100147,Beauty,Supplier D,East,384.54,Ads,Not Returned,,27-05-2024
ORD100148,Books,Supplier C,West,139.87,Ads,Not Returned,Wrong Item,28-05-2024
ORD100149,Toys,Supplier D,West,20.26,Organic,Returned,,29-05-2024
ORD100150,Beauty,Supplier B,South,50.26,Organic,Returned,,30-05-2024
ORD100151,Beauty,Supplier D,North,484.25,Social Media,Not Returned,Wrong Item,31-05-2024
ORD100152,Home & Kitchen,Supplier C,North,154.77,Email,Not Returned,,01-06-2024
ORD100153,Beauty,Supplier A,North,386.92,Email,Returned,Damaged,02-06-2024
ORD100154,Books,Supplier B,North,316.09,Ads,Not Returned,,03-06-2024
ORD100155,Beauty,Supplier A,West,197.15,Social Media,Not Returned,,04-06-2024
ORD100156,Home & Kitchen,Supplier C,East,110.79,Organic,Not Returned,,05-06-2024
ORD100157,Home & Kitchen,Supplier C,East,69.48,Ads,Returned,,06-06-2024
ORD100158,Toys,Supplier C,South,311.36,Social Media,Not Returned,,07-06-2024
ORD100159,Books,Supplier A,South,389.57,Email,Not Returned,,08-06-2024
ORD100160,Clothing,Supplier A,West,325.51,Social Media,Not Returned,,09-06-2024
ORD100161,Clothing,Supplier A,East,269.85,Email,Not Returned,,10-06-2024
ORD100162,Beauty,Supplier A,East,30.56,Social Media,Not Returned,Damaged,11-06-2024
ORD100163,Toys,Supplier C,North,484.56,Ads,Not Returned,,12-06-2024
ORD100164,Electronics,Supplier C,West,401.37,Email,Returned,Changed Mind,13-06-2024
ORD100165,Beauty,Supplier B,West,153.48,Ads,Not Returned,,14-06-2024
ORD100166,Toys,Supplier B,North,490.19,Ads,Not Returned,,15-06-2024
ORD100167,Books,Supplier A,West,304.92,Email,Not Returned,Wrong Item,16-06-2024
ORD100168,Books,Supplier D,West,295.39,Email,Returned,,17-06-2024
ORD100169,Books,Supplier D,South,376.56,Organic,Returned,,18-06-2024
ORD100170,Books,Supplier C,East,407.77,Organic,Not Returned,,19-06-2024
ORD100171,Books,Supplier C,West,331.67,Organic,Not Returned,Other,20-06-2024
ORD100172,Toys,Supplier C,South,72.77,Ads,Not Returned,,21-06-2024
ORD100173,Toys,Supplier B,East,175.75,Ads,Not Returned,,22-06-2024
ORD100174,Home & Kitchen,Supplier B,North,464.76,Organic,Not Returned,,23-06-2024
ORD100175,Clothing,Supplier C,South,120.06,Ads,Not Returned,Changed Mind,24-06-2024
ORD100176,Books,Supplier C,South,192.36,Ads,Not Returned,,25-06-2024
ORD100177,Electronics,Supplier C,East,221.72,Email,Not Returned,Changed Mind,26-06-2024
ORD100178,Toys,Supplier D,North,225.31,Email,Not Returned,,27-06-2024
ORD100179,Electronics,Supplier B,South,310.34,Ads,Returned,,28-06-2024
ORD100180,Electronics,Supplier D,West,472.11,Organic,Not Returned,,29-06-2024
ORD100181,Electronics,Supplier D,West,127.94,Social Media,Not Returned,,30-06-2024
ORD100182,Home & Kitchen,Supplier C,West,69.54,Organic,Not Returned,,01-07-2024
ORD100183,Toys,Supplier C,North,106.76,Social Media,Returned,,02-07-2024
ORD100184,Electronics,Supplier A,South,444.59,Organic,Not Returned,,03-07-2024
ORD100185,Books,Supplier A,West,326.45,Email,Returned,,04-07-2024
ORD100186,Beauty,Supplier D,North,150.09,Ads,Returned,,05-07-2024
ORD100187,Electronics,Supplier B,West,409.81,Ads,Not Returned,,06-07-2024
ORD100188,Home & Kitchen,Supplier C,East,432.07,Email,Not Returned,,07-07-2024
ORD100189,Toys,Supplier C,South,424.79,Social Media,Not Returned,,08-07-2024
ORD100190,Home & Kitchen,Supplier D,South,460.27,Social Media,Returned,,09-07-2024
ORD100191,Electronics,Supplier A,North,133.6,Social Media,Returned,,10-07-2024
ORD100192,Toys,Supplier B,North,379.97,Email,Not Returned,Changed Mind,11-07-2024
ORD100193,Beauty,Supplier A,South,235.66,Social Media,Not Returned,,12-07-2024
ORD100194,Electronics,Supplier A,West,422.58,Email,Not Returned,,13-07-2024
ORD100195,Home & Kitchen,Supplier A,West,366.96,Organic,Not Returned,Damaged,14-07-2024
ORD100196,Clothing,Supplier A,East,390.46,Organic,Not Returned,Late Delivery,15-07-2024
ORD100197,Books,Supplier C,West,331.52,Email,Not Returned,,16-07-2024
ORD100198,Home & Kitchen,Supplier C,North,96.94,Ads,Not Returned,,17-07-2024
ORD100199,Toys,Supplier A,North,277.06,Organic,Not Returned,,18-07-2024
ORD100200,Electronics,Supplier B,West,492.49,Social Media,Not Returned,Wrong Item,19-07-2024
ORD100201,Books,Supplier D,North,469.32,Email,Not Returned,,20-07-2024
ORD100202,Electronics,Supplier B,South,31.16,Social Media,Not Returned,Damaged,21-07-2024
ORD100203,Toys,Supplier B,South,90.76,Social Media,Not Returned,,22-07-2024
ORD100204,Electronics,Supplier B,West,74.55,Ads,Returned,Late Delivery,23-07-2024
ORD100205,Clothing,Supplier A,South,365.73,Social Media,Not Returned,Wrong Item,24-07-2024
ORD100206,Books,Supplier C,South,410.71,Ads,Returned,Late Delivery,25-07-2024
ORD100207,Books,Supplier B,East,114.62,Organic,Not Returned,,26-07-2024
ORD100208,Toys,Supplier A,East,257.87,Email,Not Returned,Late Delivery,27-07-2024
ORD100209,Clothing,Supplier B,South,421.94,Social Media,Not Returned,,28-07-2024
ORD100210,Home & Kitchen,Supplier B,West,369.07,Email,Not Returned,,29-07-2024
ORD100211,Electronics,Supplier A,East,275.7,Social Media,Not Returned,,30-07-2024
ORD100212,Beauty,Supplier C,North,299.27,Email,Not Returned,,31-07-2024
ORD100213,Electronics,Supplier C,North,259.1,Social Media,Returned,,01-08-2024
ORD100214,Electronics,Supplier D,North,155.8,Social Media,Returned,Changed Mind,02-08-2024
ORD100215,Home & Kitchen,Supplier A,West,286.86,Social Media,Not Returned,,03-08-2024
ORD100216,Electronics,Supplier D,South,347.55,Social Media,Not Returned,Late Delivery,04-08-2024
ORD100217,Clothing,Supplier D,North,437.93,Social Media,Not Returned,Damaged,05-08-2024
ORD100218,Clothing,Supplier D,West,321.78,Social Media,Returned,,06-08-2024
ORD100219,Books,Supplier C,East,382.95,Social Media,Not Returned,,07-08-2024
ORD100220,Toys,Supplier A,South,88.44,Social Media,Returned,,08-08-2024
ORD100221,Beauty,Supplier D,East,236.16,Social Media,Not Returned,,09-08-2024
ORD100222,Electronics,Supplier A,West,14.57,Email,Returned,,10-08-2024
ORD100223,Electronics,Supplier A,North,130.87,Ads,Not Returned,Other,11-08-2024
ORD100224,Home & Kitchen,Supplier C,North,365.97,Social Media,Returned,Late Delivery,12-08-2024
ORD100225,Toys,Supplier D,West,495.99,Ads,Not Returned,Wrong Item,13-08-2024
ORD100226,Clothing,Supplier D,North,58.6,Social Media,Not Returned,Late Delivery,14-08-2024
ORD100227,Beauty,Supplier A,South,206.73,Social Media,Not Returned,,15-08-2024
ORD100228,Books,Supplier B,West,402.03,Email,Not Returned,,16-08-2024
ORD100229,Clothing,Supplier C,East,109.98,Organic,Not Returned,Damaged,17-08-2024
ORD100230,Toys,Supplier C,West,281.99,Organic,Not Returned,,18-08-2024
ORD100231,Books,Supplier C,South,369.2,Email,Not Returned,,19-08-2024
ORD100232,Home & Kitchen,Supplier C,South,311.83,Ads,Not Returned,,20-08-2024
ORD100233,Home & Kitchen,Supplier D,West,102.13,Organic,Not Returned,Wrong Item,21-08-2024
ORD100234,Electronics,Supplier D,West,184.14,Email,Returned,Wrong Item,22-08-2024
ORD100235,Toys,Supplier B,North,394.06,Email,Not Returned,Other,23-08-2024
ORD100236,Beauty,Supplier C,South,281.57,Organic,Returned,Damaged,24-08-2024
ORD100237,Books,Supplier C,West,12.56,Ads,Returned,,25-08-2024
ORD100238,Clothing,Supplier A,West,382.89,Email,Not Returned,Changed Mind,26-08-2024
ORD100239,Toys,Supplier D,South,27.3,Social Media,Not Returned,,27-08-2024
ORD100240,Toys,Supplier C,West,375.41,Ads,Not Returned,,28-08-2024
ORD100241,Home & Kitchen,Supplier B,North,109.22,Ads,Not Returned,,29-08-2024
ORD100242,Electronics,Supplier B,South,479.46,Organic,Not Returned,,30-08-2024
ORD100243,Electronics,Supplier D,North,190.29,Organic,Not Returned,Changed Mind,31-08-2024
ORD100244,Books,Supplier B,North,170.2,Social Media,Returned,,01-09-2024
ORD100245,Home & Kitchen,Supplier B,North,82.96,Email,Returned,,02-09-2024
ORD100246,Toys,Supplier D,North,159.75,Organic,Not Returned,Damaged,03-09-2024
ORD100247,Beauty,Supplier C,South,439.56,Organic,Returned,Wrong Item,04-09-2024
ORD100248,Home & Kitchen,Supplier C,North,498.2,Ads,Returned,,05-09-2024
ORD100249,Books,Supplier B,North,190.47,Organic,Not Returned,,06-09-2024
ORD100250,Books,Supplier B,West,229.82,Organic,Not Returned,,07-09-2024
ORD100251,Home & Kitchen,Supplier C,South,363.81,Organic,Not Returned,,08-09-2024
ORD100252,Books,Supplier D,South,444.24,Organic,Not Returned,,09-09-2024
ORD100253,Home & Kitchen,Supplier B,East,300.59,Ads,Not Returned,Other,10-09-2024
ORD100254,Clothing,Supplier A,South,201.85,Social Media,Returned,,11-09-2024
ORD100255,Home & Kitchen,Supplier D,South,212.18,Social Media,Returned,Late Delivery,12-09-2024
ORD100256,Home & Kitchen,Supplier B,East,350.85,Email,Not Returned,Other,13-09-2024
ORD100257,Books,Supplier B,South,11.58,Organic,Not Returned,,14-09-2024
ORD100258,Books,Supplier A,South,313.6,Ads,Not Returned,,15-09-2024
ORD100259,Electronics,Supplier A,South,184.19,Email,Returned,,16-09-2024
ORD100260,Electronics,Supplier C,South,399.16,Email,Not Returned,,17-09-2024
ORD100261,Clothing,Supplier D,East,55.57,Social Media,Not Returned,,18-09-2024
ORD100262,Electronics,Supplier D,South,298.22,Ads,Not Returned,Wrong Item,19-09-2024
ORD100263,Home & Kitchen,Supplier C,South,245.68,Ads,Not Returned,Wrong Item,20-09-2024
ORD100264,Books,Supplier D,East,324.74,Ads,Not Returned,Changed Mind,21-09-2024
ORD100265,Electronics,Supplier D,West,41.78,Social Media,Not Returned,,22-09-2024
ORD100266,Electronics,Supplier D,North,294.19,Social Media,Not Returned,,23-09-2024
ORD100267,Clothing,Supplier D,West,285.13,Social Media,Not Returned,,24-09-2024
ORD100268,Toys,Supplier D,East,284.72,Social Media,Not Returned,,25-09-2024
ORD100269,Clothing,Supplier A,North,305.71,Social Media,Not Returned,,26-09-2024
ORD100270,Home & Kitchen,Supplier D,East,341.47,Organic,Not Returned,Wrong Item,27-09-2024
ORD100271,Books,Supplier A,East,404.44,Organic,Not Returned,,28-09-2024
ORD100272,Clothing,Supplier D,South,142.21,Ads,Returned,,29-09-2024
ORD100273,Electronics,Supplier C,North,414.27,Email,Not Returned,,30-09-2024
ORD100274,Books,Supplier B,South,254.15,Ads,Not Returned,,01-10-2024
ORD100275,Books,Supplier A,North,47.76,Email,Not Returned,Wrong Item,02-10-2024
ORD100276,Electronics,Supplier D,East,38.69,Social Media,Not Returned,,03-10-2024
ORD100277,Clothing,Supplier C,East,173.78,Email,Not Returned,,04-10-2024
ORD100278,Electronics,Supplier B,West,394.6,Ads,Returned,Other,05-10-2024
ORD100279,Toys,Supplier A,North,356.76,Ads,Not Returned,,06-10-2024
ORD100280,Books,Supplier B,South,396.42,Email,Not Returned,,07-10-2024
ORD100281,Beauty,Supplier C,West,263.46,Organic,Not Returned,,08-10-2024
ORD100282,Beauty,Supplier A,West,225.7,Social Media,Not Returned,Late Delivery,09-10-2024
ORD100283,Home & Kitchen,Supplier B,West,82.25,Social Media,Not Returned,,10-10-2024
ORD100284,Electronics,Supplier D,South,170.81,Ads,Not Returned,,11-10-2024
ORD100285,Electronics,Supplier A,West,222.67,Organic,Returned,,12-10-2024
ORD100286,Home & Kitchen,Supplier B,South,53.41,Email,Not Returned,,13-10-2024
ORD100287,Home & Kitchen,Supplier C,West,118.1,Social Media,Not Returned,,14-10-2024
ORD100288,Home & Kitchen,Supplier C,South,303.13,Organic,Not Returned,,15-10-2024
ORD100289,Books,Supplier A,East,370.47,Social Media,Not Returned,,16-10-2024
ORD100290,Toys,Supplier B,East,499.19,Organic,Not Returned,,17-10-2024
ORD100291,Electronics,Supplier A,East,467.23,Organic,Returned,Changed Mind,18-10-2024
ORD100292,Books,Supplier A,East,324.86,Ads,Not Returned,,19-10-2024
ORD100293,Home & Kitchen,Supplier B,East,216.41,Social Media,Not Returned,Wrong Item,20-10-2024
ORD100294,Electronics,Supplier B,West,321.73,Email,Not Returned,,21-10-2024
ORD100295,Books,Supplier D,West,394.97,Ads,Not Returned,,22-10-2024
ORD100296,Toys,Supplier B,West,67.98,Ads,Not Returned,,23-10-2024
ORD100297,Books,Supplier C,South,210.85,Email,Returned,,24-10-2024
ORD100298,Toys,Supplier A,South,421.5,Ads,Not Returned,,25-10-2024
ORD100299,Home & Kitchen,Supplier A,South,198.08,Organic,Not Returned,Late Delivery,26-10-2024
ORD100300,Toys,Supplier C,South,290.22,Organic,Returned,,27-10-2024
ORD100301,Electronics,Supplier B,East,298.01,Social Media,Not Returned,,28-10-2024
ORD100302,Home & Kitchen,Supplier C,East,100.39,Social Media,Not Returned,Late Delivery,29-10-2024
ORD100303,Electronics,Supplier C,East,187.5,Email,Not Returned,Wrong Item,30-10-2024
ORD100304,Beauty,Supplier D,North,173.91,Social Media,Not Returned,,31-10-2024
ORD100305,Clothing,Supplier C,West,22.84,Organic,Returned,,01-11-2024
ORD100306,Toys,Supplier A,South,21.85,Email,Returned,,02-11-2024
ORD100307,Clothing,Supplier C,South,417.53,Email,Not Returned,,03-11-2024
ORD100308,Clothing,Supplier A,East,143.8,Social Media,Not Returned,Late Delivery,04-11-2024
ORD100309,Toys,Supplier A,South,263.86,Organic,Not Returned,,05-11-2024
ORD100310,Home & Kitchen,Supplier A,South,156.38,Email,Not Returned,,06-11-2024
ORD100311,Beauty,Supplier B,West,470.93,Organic,Not Returned,,07-11-2024
ORD100312,Electronics,Supplier D,East,137.06,Organic,Not Returned,,08-11-2024
ORD100313,Books,Supplier A,West,220.53,Organic,Not Returned,,09-11-2024
ORD100314,Electronics,Supplier A,North,437.64,Social Media,Not Returned,,10-11-2024
ORD100315,Books,Supplier B,North,422.55,Ads,Not Returned,,11-11-2024
ORD100316,Electronics,Supplier A,North,101.19,Ads,Returned,Other,12-11-2024
ORD100317,Toys,Supplier C,East,403.3,Email,Not Returned,,13-11-2024
ORD100318,Beauty,Supplier C,South,234.51,Organic,Not Returned,,14-11-2024
ORD100319,Books,Supplier D,East,246.65,Social Media,Not Returned,,15-11-2024
ORD100320,Home & Kitchen,Supplier A,East,75.41,Organic,Not Returned,Changed Mind,16-11-2024
ORD100321,Electronics,Supplier B,South,49.49,Organic,Not Returned,,17-11-2024
ORD100322,Electronics,Supplier C,West,366.69,Social Media,Not Returned,Late Delivery,18-11-2024
ORD100323,Books,Supplier B,North,253.27,Ads,Returned,,19-11-2024
ORD100324,Home & Kitchen,Supplier B,West,224.06,Organic,Returned,,20-11-2024
ORD100325,Home & Kitchen,Supplier C,North,367.46,Organic,Not Returned,,21-11-2024
ORD100326,Toys,Supplier B,East,385.1,Ads,Returned,,22-11-2024
ORD100327,Toys,Supplier C,North,87.87,Social Media,Not Returned,,23-11-2024
ORD100328,Toys,Supplier B,East,309.01,Email,Not Returned,,24-11-2024
ORD100329,Toys,Supplier C,West,76.32,Ads,Not Returned,,25-11-2024
ORD100330,Toys,Supplier A,East,378.17,Email,Not Returned,,26-11-2024
