OrderID,ProductCategory,Supplier,Region,OrderValue,MarketingChannel,ReturnStatus,ReturnReason,OrderDate,is_returned,return_probability
ORD100079,Clothing,Supplier A,East,15.41,Social Media,Not Returned,,20-03-2024,0,0.402326426
ORD100080,Clothing,Supplier C,East,213.92,Ads,Not Returned,,21-03-2024,0,0.410551934
ORD100084,Toys,Supplier A,South,382.54,Social Media,Not Returned,,25-03-2024,0,0.40461328
ORD100085,Books,Supplier D,East,77.18,Email,Not Returned,,26-03-2024,0,0.421777635
ORD100088,Beauty,Supplier A,South,15.94,Organic,Not Returned,,29-03-2024,0,0.413568133
ORD100089,Beauty,Supplier C,South,128.19,Organic,Returned,,30-03-2024,1,0.413492698
ORD100090,Clothing,Supplier A,North,488.18,Email,Not Returned,Changed Mind,31-03-2024,0,0.429226885
ORD100091,Beauty,Supplier A,West,402.75,Email,Returned,,01-04-2024,1,0.470884881
ORD100092,Clothing,Supplier A,North,480.19,Email,Not Returned,,02-04-2024,0,0.428658946
ORD100093,Electronics,Supplier A,East,249.05,Ads,Returned,,03-04-2024,1,0.413459533
ORD100096,Books,Supplier D,East,232.64,Organic,Returned,Changed Mind,06-04-2024,1,0.406598544
ORD100097,Beauty,Supplier B,East,423.73,Email,Not Returned,,07-04-2024,0,0.413456653
ORD100102,Electronics,Supplier A,West,371.3,Ads,Not Returned,,12-04-2024,0,0.433987088
ORD100103,Electronics,Supplier A,West,243.25,Email,Not Returned,Wrong Item,13-04-2024,0,0.44360974
ORD100105,Books,Supplier D,East,203.29,Email,Not Returned,,15-04-2024,0,0.430727168
ORD100114,Clothing,Supplier D,West,134.79,Email,Not Returned,Late Delivery,24-04-2024,0,0.442291376
ORD100115,Clothing,Supplier C,West,422.03,Ads,Not Returned,,25-04-2024,0,0.437161775
ORD100116,Electronics,Supplier C,West,28.83,Email,Not Returned,Late Delivery,26-04-2024,0,0.420278371
ORD100119,Books,Supplier D,East,322.23,Email,Not Returned,Changed Mind,29-04-2024,0,0.439209653
ORD100123,Beauty,Supplier A,West,310.83,Organic,Not Returned,,03-05-2024,0,0.437591385
ORD100125,Books,Supplier C,East,264.02,Email,Returned,,05-05-2024,1,0.428199627
ORD100129,Electronics,Supplier D,East,343.31,Social Media,Not Returned,,09-05-2024,0,0.416623106
ORD100131,Beauty,Supplier C,South,51.55,Email,Returned,,11-05-2024,1,0.434354079
ORD100132,Toys,Supplier A,West,361,Ads,Not Returned,Damaged,12-05-2024,0,0.408435837
ORD100135,Beauty,Supplier C,South,15.93,Organic,Not Returned,,15-05-2024,0,0.405615316
ORD100140,Clothing,Supplier D,North,181.35,Email,Returned,,20-05-2024,1,0.40637058
ORD100141,Clothing,Supplier A,West,389.58,Ads,Not Returned,Wrong Item,21-05-2024,0,0.442944337
ORD100142,Books,Supplier A,West,334.07,Email,Not Returned,,22-05-2024,0,0.45329064
ORD100146,Books,Supplier D,West,333.55,Social Media,Not Returned,,26-05-2024,0,0.430921436
ORD100147,Beauty,Supplier D,East,384.54,Ads,Not Returned,,27-05-2024,0,0.437414235
ORD100148,Books,Supplier C,West,139.87,Ads,Not Returned,Wrong Item,28-05-2024,0,0.412689554
ORD100151,Beauty,Supplier D,North,484.25,Social Media,Not Returned,Wrong Item,31-05-2024,0,0.414805808
ORD100153,Beauty,Supplier A,North,386.92,Email,Returned,Damaged,02-06-2024,1,0.430007868
ORD100155,Beauty,Supplier A,West,197.15,Social Media,Not Returned,,04-06-2024,0,0.434904906
ORD100159,Books,Supplier A,South,389.57,Email,Not Returned,,08-06-2024,0,0.454130145
ORD100160,Clothing,Supplier A,West,325.51,Social Media,Not Returned,,09-06-2024,0,0.436054673
ORD100161,Clothing,Supplier A,East,269.85,Email,Not Returned,,10-06-2024,0,0.441189961
ORD100162,Beauty,Supplier A,East,30.56,Social Media,Not Returned,Damaged,11-06-2024,0,0.411246845
ORD100164,Electronics,Supplier C,West,401.37,Email,Returned,Changed Mind,13-06-2024,1,0.446820655
ORD100167,Books,Supplier A,West,304.92,Email,Not Returned,Wrong Item,16-06-2024,0,0.451195207
ORD100168,Books,Supplier D,West,295.39,Email,Returned,,17-06-2024,1,0.449286454
ORD100169,Books,Supplier D,South,376.56,Organic,Returned,,18-06-2024,1,0.425460959
ORD100170,Books,Supplier C,East,407.77,Organic,Not Returned,,19-06-2024,0,0.412130951
ORD100171,Books,Supplier C,West,331.67,Organic,Not Returned,Other,20-06-2024,0,0.418571203
ORD100175,Clothing,Supplier C,South,120.06,Ads,Not Returned,Changed Mind,24-06-2024,0,0.412646741
ORD100176,Books,Supplier C,South,192.36,Ads,Not Returned,,25-06-2024,0,0.413298924
ORD100177,Electronics,Supplier C,East,221.72,Email,Not Returned,Changed Mind,26-06-2024,0,0.422074888
ORD100180,Electronics,Supplier D,West,472.11,Organic,Not Returned,,29-06-2024,0,0.43223563
ORD100181,Electronics,Supplier D,West,127.94,Social Media,Not Returned,,30-06-2024,0,0.413250496
ORD100184,Electronics,Supplier A,South,444.59,Organic,Not Returned,,03-07-2024,0,0.428372636
ORD100185,Books,Supplier A,West,326.45,Email,Returned,,04-07-2024,1,0.452742717
ORD100193,Beauty,Supplier A,South,235.66,Social Media,Not Returned,,12-07-2024,0,0.434525682
ORD100194,Electronics,Supplier A,West,422.58,Email,Not Returned,,13-07-2024,0,0.456488902
ORD100196,Clothing,Supplier A,East,390.46,Organic,Not Returned,Late Delivery,15-07-2024,0,0.423356013
ORD100197,Books,Supplier C,West,331.52,Email,Not Returned,,16-07-2024,0,0.444971759
ORD100201,Books,Supplier D,North,469.32,Email,Not Returned,,20-07-2024,0,0.42220817
ORD100205,Clothing,Supplier A,South,365.73,Social Media,Not Returned,Wrong Item,24-07-2024,0,0.435797224
ORD100206,Books,Supplier C,South,410.71,Ads,Returned,Late Delivery,25-07-2024,1,0.428742816
ORD100208,Toys,Supplier A,East,257.87,Email,Not Returned,Late Delivery,27-07-2024,0,0.407881224
ORD100211,Electronics,Supplier A,East,275.7,Social Media,Not Returned,,30-07-2024,0,0.413061151
ORD100212,Beauty,Supplier C,North,299.27,Email,Not Returned,,31-07-2024,0,0.415775902
ORD100216,Electronics,Supplier D,South,347.55,Social Media,Not Returned,Late Delivery,04-08-2024,0,0.425671253
ORD100217,Clothing,Supplier D,North,437.93,Social Media,Not Returned,Damaged,05-08-2024,0,0.403682164
ORD100218,Clothing,Supplier D,West,321.78,Social Media,Returned,,06-08-2024,1,0.434572818
ORD100219,Books,Supplier C,East,382.95,Social Media,Not Returned,,07-08-2024,0,0.415736434
ORD100221,Beauty,Supplier D,East,236.16,Social Media,Not Returned,,09-08-2024,0,0.424556216
ORD100222,Electronics,Supplier A,West,14.57,Email,Returned,,10-08-2024,1,0.427297862
ORD100225,Toys,Supplier D,West,495.99,Ads,Not Returned,Wrong Item,13-08-2024,0,0.416730631
ORD100227,Beauty,Supplier A,South,206.73,Social Media,Not Returned,,15-08-2024,0,0.432464047
ORD100228,Books,Supplier B,West,402.03,Email,Not Returned,,16-08-2024,0,0.411383814
ORD100231,Books,Supplier C,South,369.2,Email,Not Returned,,19-08-2024,0,0.444531189
ORD100234,Electronics,Supplier D,West,184.14,Email,Returned,Wrong Item,22-08-2024,1,0.43816232
ORD100236,Beauty,Supplier C,South,281.57,Organic,Returned,Damaged,24-08-2024,1,0.424326714
ORD100237,Books,Supplier C,West,12.56,Ads,Returned,,25-08-2024,1,0.403765094
ORD100238,Clothing,Supplier A,West,382.89,Email,Not Returned,Changed Mind,26-08-2024,0,0.461345597
ORD100240,Toys,Supplier C,West,375.41,Ads,Not Returned,,28-08-2024,0,0.40151943
ORD100247,Beauty,Supplier C,South,439.56,Organic,Returned,Wrong Item,04-09-2024,1,0.435562801
ORD100252,Books,Supplier D,South,444.24,Organic,Not Returned,,09-09-2024,0,0.430268666
ORD100254,Clothing,Supplier A,South,201.85,Social Media,Returned,,11-09-2024,1,0.424142121
ORD100258,Books,Supplier A,South,313.6,Ads,Not Returned,,15-09-2024,0,0.429895426
ORD100259,Electronics,Supplier A,South,184.19,Email,Returned,,16-09-2024,1,0.436253455
ORD100260,Electronics,Supplier C,South,399.16,Email,Not Returned,,17-09-2024,0,0.443520938
ORD100261,Clothing,Supplier D,East,55.57,Social Media,Not Returned,,18-09-2024,0,0.403940465
ORD100262,Electronics,Supplier D,South,298.22,Ads,Not Returned,Wrong Item,19-09-2024,0,0.424464371
ORD100264,Books,Supplier D,East,324.74,Ads,Not Returned,Changed Mind,21-09-2024,0,0.420705594
ORD100265,Electronics,Supplier D,West,41.78,Social Media,Not Returned,,22-09-2024,0,0.407201486
ORD100267,Clothing,Supplier D,West,285.13,Social Media,Not Returned,,24-09-2024,0,0.43196136
ORD100271,Books,Supplier A,East,404.44,Organic,Not Returned,,28-09-2024,0,0.41988512
ORD100272,Clothing,Supplier D,South,142.21,Ads,Returned,,29-09-2024,1,0.421000282
ORD100273,Electronics,Supplier C,North,414.27,Email,Not Returned,,30-09-2024,0,0.408440842
ORD100277,Clothing,Supplier C,East,173.78,Email,Not Returned,,04-10-2024,0,0.426267399
ORD100280,Books,Supplier B,South,396.42,Email,Not Returned,,07-10-2024,0,0.407914393
ORD100281,Beauty,Supplier C,West,263.46,Organic,Not Returned,,08-10-2024,0,0.426150748
ORD100282,Beauty,Supplier A,West,225.7,Social Media,Not Returned,Late Delivery,09-10-2024,0,0.436942088
ORD100284,Electronics,Supplier D,South,170.81,Ads,Not Returned,,11-10-2024,0,0.41545836
ORD100285,Electronics,Supplier A,West,222.67,Organic,Returned,,12-10-2024,1,0.415767305
ORD100289,Books,Supplier A,East,370.47,Social Media,Not Returned,,16-10-2024,0,0.422861436
ORD100291,Electronics,Supplier A,East,467.23,Organic,Returned,Changed Mind,18-10-2024,1,0.421209438
ORD100292,Books,Supplier A,East,324.86,Ads,Not Returned,,19-10-2024,0,0.421919942
ORD100294,Electronics,Supplier B,West,321.73,Email,Not Returned,,21-10-2024,0,0.402673965
ORD100295,Books,Supplier D,West,394.97,Ads,Not Returned,,22-10-2024,0,0.437603694
ORD100297,Books,Supplier C,South,210.85,Email,Returned,,24-10-2024,1,0.433215676
ORD100298,Toys,Supplier A,South,421.5,Ads,Not Returned,,25-10-2024,0,0.409605286
ORD100303,Electronics,Supplier C,East,187.5,Email,Not Returned,Wrong Item,30-10-2024,0,0.419654541
ORD100305,Clothing,Supplier C,West,22.84,Organic,Returned,,01-11-2024,1,0.4013197
ORD100306,Toys,Supplier A,South,21.85,Email,Returned,,02-11-2024,1,0.400031366
ORD100307,Clothing,Supplier C,South,417.53,Email,Not Returned,,03-11-2024,0,0.452524113
ORD100308,Clothing,Supplier A,East,143.8,Social Media,Not Returned,Late Delivery,04-11-2024,0,0.411316903
ORD100311,Beauty,Supplier B,West,470.93,Organic,Not Returned,,07-11-2024,0,0.402497576
ORD100313,Books,Supplier A,West,220.53,Organic,Not Returned,,09-11-2024,0,0.4187253
ORD100317,Toys,Supplier C,East,403.3,Email,Not Returned,,13-11-2024,0,0.410133405
ORD100318,Beauty,Supplier C,South,234.51,Organic,Not Returned,,14-11-2024,0,0.420994375
ORD100319,Books,Supplier D,East,246.65,Social Media,Not Returned,,15-11-2024,0,0.412918223
ORD100322,Electronics,Supplier C,West,366.69,Social Media,Not Returned,Late Delivery,18-11-2024,0,0.423309858
ORD100330,Toys,Supplier A,East,378.17,Email,Not Returned,,26-11-2024,0,0.416338662
ORD100331,Toys,Supplier D,West,331.91,Email,Returned,,27-11-2024,1,0.423703809
ORD100332,Beauty,Supplier C,South,478.74,Ads,Not Returned,,28-11-2024,0,0.446115213
ORD100338,Beauty,Supplier D,West,454.06,Email,Not Returned,,04-12-2024,0,0.473363024
ORD100341,Books,Supplier D,East,382.11,Ads,Not Returned,,07-12-2024,0,0.424768177
ORD100343,Beauty,Supplier A,West,390.59,Social Media,Not Returned,Late Delivery,09-12-2024,0,0.448747375
ORD100344,Books,Supplier D,South,42.03,Ads,Not Returned,,10-12-2024,0,0.409500784
ORD100345,Beauty,Supplier A,East,248.91,Email,Returned,,11-12-2024,1,0.447731837
ORD100349,Electronics,Supplier C,South,78.23,Ads,Not Returned,,15-12-2024,0,0.402213774
ORD100354,Beauty,Supplier A,West,20.69,Email,Returned,Wrong Item,20-12-2024,1,0.443378731
ORD100356,Beauty,Supplier C,South,482.06,Ads,Returned,,22-12-2024,1,0.446353282
ORD100359,Books,Supplier A,South,35.61,Ads,Returned,,25-12-2024,1,0.410246476
ORD100361,Beauty,Supplier D,West,137.48,Social Media,Returned,,27-12-2024,1,0.429442049
ORD100362,Beauty,Supplier B,West,368.1,Social Media,Not Returned,,28-12-2024,0,0.400629163
ORD100365,Beauty,Supplier C,West,330.55,Email,Not Returned,Wrong Item,31-12-2024,0,0.457495787
ORD100367,Books,Supplier D,South,287.01,Email,Not Returned,Wrong Item,02-01-2025,0,0.445540863
ORD100368,Electronics,Supplier A,West,237.33,Organic,Not Returned,Late Delivery,03-01-2025,0,0.416801021
ORD100369,Books,Supplier C,West,486.28,Email,Not Returned,,04-01-2025,0,0.456088659
ORD100370,Beauty,Supplier A,West,308.18,Ads,Returned,,05-01-2025,1,0.445153857
ORD100371,Beauty,Supplier D,South,181.26,Social Media,Returned,,06-01-2025,1,0.429438637
ORD100374,Clothing,Supplier C,West,120.41,Social Media,Not Returned,Damaged,09-01-2025,0,0.413481567
ORD100376,Clothing,Supplier C,West,426.8,Social Media,Returned,Wrong Item,11-01-2025,1,0.435196273
ORD100378,Clothing,Supplier C,North,266.46,Email,Returned,Wrong Item,13-01-2025,1,0.405589039
ORD100380,Toys,Supplier D,West,431.47,Organic,Not Returned,,15-01-2025,0,0.404590716
ORD100383,Clothing,Supplier A,East,356.84,Ads,Not Returned,,18-01-2025,0,0.428658523
ORD100385,Clothing,Supplier A,West,50.05,Email,Not Returned,,20-01-2025,0,0.437451337
ORD100386,Clothing,Supplier B,South,234.57,Email,Not Returned,,21-01-2025,0,0.401007184
ORD100387,Clothing,Supplier D,East,247.5,Email,Returned,Late Delivery,22-01-2025,1,0.438373528
ORD100388,Electronics,Supplier D,South,91.23,Social Media,Not Returned,Late Delivery,23-01-2025,0,0.407595353
ORD100389,Electronics,Supplier C,East,473.39,Email,Not Returned,,24-01-2025,0,0.439983136
ORD100394,Clothing,Supplier C,West,328.98,Email,Returned,,29-01-2025,1,0.449310967
ORD100398,Electronics,Supplier D,West,405.14,Email,Returned,,02-02-2025,1,0.454007257
ORD100403,Books,Supplier C,South,136.72,Email,Not Returned,Damaged,07-02-2025,0,0.427941533
ORD100404,Beauty,Supplier C,West,90.71,Ads,Not Returned,Changed Mind,08-02-2025,0,0.421587005
ORD100405,Books,Supplier D,West,171.81,Organic,Not Returned,,09-02-2025,0,0.414087749
ORD100406,Electronics,Supplier A,West,380.81,Social Media,Not Returned,,10-02-2025,0,0.43236245
ORD100409,Books,Supplier C,South,440.14,Email,Not Returned,,13-02-2025,0,0.449619926
ORD100411,Books,Supplier C,South,436.58,Ads,Not Returned,,15-02-2025,0,0.430582449
ORD100412,Clothing,Supplier D,South,127.01,Ads,Returned,,16-02-2025,1,0.41992548
ORD100419,Beauty,Supplier A,North,455.52,Social Media,Not Returned,,23-02-2025,0,0.413982882
ORD100421,Clothing,Supplier C,South,253.93,Ads,Not Returned,,25-02-2025,0,0.422092973
ORD100422,Clothing,Supplier D,West,61.68,Social Media,Not Returned,,26-02-2025,0,0.416126438
ORD100425,Books,Supplier C,South,196.41,Social Media,Returned,,01-03-2025,1,0.411311705
ORD100426,Clothing,Supplier A,West,390.05,Organic,Not Returned,,02-03-2025,0,0.435234441
ORD100427,Toys,Supplier D,East,482.59,Email,Returned,Late Delivery,03-03-2025,1,0.422512778
ORD100430,Books,Supplier C,South,150.7,Email,Not Returned,,06-03-2025,0,0.428934957
ORD100431,Beauty,Supplier C,East,398.5,Organic,Not Returned,,07-03-2025,0,0.423849222
ORD100432,Electronics,Supplier D,South,293.02,Ads,Returned,,08-03-2025,1,0.424095781
ORD100434,Books,Supplier C,East,400.98,Ads,Not Returned,,10-03-2025,0,0.419289136
ORD100437,Beauty,Supplier D,West,271.18,Social Media,Not Returned,,13-03-2025,0,0.438973251
ORD100444,Books,Supplier A,West,145.68,Email,Not Returned,,20-03-2025,0,0.439780753
ORD100445,Beauty,Supplier D,West,491.93,Email,Not Returned,,21-03-2025,0,0.476103335
ORD100446,Clothing,Supplier C,West,78.95,Ads,Not Returned,,22-03-2025,0,0.412837917
ORD100447,Books,Supplier D,West,108.99,Ads,Returned,Changed Mind,23-03-2025,1,0.417296764
ORD100451,Electronics,Supplier D,East,84.53,Ads,Returned,,27-03-2025,1,0.400743223
ORD100453,Books,Supplier D,South,311.5,Organic,Not Returned,,29-03-2025,0,0.420852606
ORD100454,Clothing,Supplier D,East,50.9,Social Media,Not Returned,,30-03-2025,0,0.403614221
ORD100455,Clothing,Supplier B,South,442.38,Email,Returned,,31-03-2025,1,0.415574657
ORD100456,Beauty,Supplier C,South,403.77,Organic,Not Returned,,01-04-2025,0,0.433011218
ORD100457,Clothing,Supplier D,West,257.55,Organic,Returned,,02-04-2025,1,0.424599143
ORD100458,Beauty,Supplier D,South,483.89,Social Media,Returned,Other,03-04-2025,1,0.451076298
ORD100460,Electronics,Supplier A,South,492.21,Ads,Returned,,05-04-2025,1,0.439489535
ORD100462,Beauty,Supplier A,South,320.99,Email,Returned,,07-04-2025,1,0.46181544
ORD100465,Clothing,Supplier C,North,219.47,Email,Not Returned,,10-04-2025,0,0.402305902
ORD100466,Electronics,Supplier D,West,89.49,Organic,Not Returned,Late Delivery,11-04-2025,0,0.405218791
ORD100470,Electronics,Supplier C,North,362.48,Email,Returned,Changed Mind,15-04-2025,1,0.404814707
ORD100471,Beauty,Supplier A,North,446.23,Ads,Not Returned,,16-04-2025,0,0.415604527
ORD100472,Beauty,Supplier C,West,48.91,Social Media,Not Returned,,17-04-2025,0,0.416351722
ORD100473,Electronics,Supplier A,South,368.43,Email,Returned,,18-04-2025,1,0.449443966
ORD100474,Beauty,Supplier C,West,101.83,Social Media,Not Returned,,19-04-2025,0,0.420088155
ORD100475,Beauty,Supplier D,West,430.51,Email,Returned,,20-04-2025,1,0.471659721
ORD100477,Beauty,Supplier C,East,274.99,Email,Not Returned,,22-04-2025,0,0.44148052
ORD100479,Books,Supplier A,East,164.03,Organic,Not Returned,Changed Mind,24-04-2025,0,0.402993262
ORD100485,Beauty,Supplier A,West,415.84,Organic,Not Returned,Other,30-04-2025,0,0.445104507
ORD100487,Books,Supplier C,West,95.14,Ads,Not Returned,,02-05-2025,0,0.409547106
ORD100489,Electronics,Supplier C,East,414.73,Email,Returned,,04-05-2025,1,0.435793259
ORD100495,Books,Supplier D,West,376.92,Social Media,Not Returned,,10-05-2025,0,0.434010364
ORD100496,Clothing,Supplier A,South,329.06,Ads,Not Returned,,11-05-2025,0,0.43548629
ORD100497,Clothing,Supplier A,South,314.25,Organic,Not Returned,,12-05-2025,0,0.426721464
ORD100503,Beauty,Supplier A,South,71.87,Organic,Returned,,18-05-2025,1,0.417509851
ORD100506,Toys,Supplier D,East,346.3,Email,Returned,,21-05-2025,1,0.412893622
ORD100509,Clothing,Supplier D,North,429.31,Social Media,Returned,Damaged,24-05-2025,1,0.403080165
ORD100511,Clothing,Supplier A,East,420.15,Social Media,Not Returned,,26-05-2025,0,0.43086295
ORD100514,Clothing,Supplier D,North,350.13,Email,Not Returned,,29-05-2025,0,0.418237654
ORD100517,Beauty,Supplier C,West,114.2,Ads,Returned,Damaged,01-06-2025,1,0.423250091
ORD100518,Books,Supplier D,South,26.26,Social Media,Not Returned,,02-06-2025,0,0.406131205
ORD100519,Clothing,Supplier D,West,158.93,Email,Returned,,03-06-2025,1,0.44402001
ORD100523,Books,Supplier A,East,385.37,Ads,Not Returned,Damaged,07-06-2025,0,0.426208447
ORD100525,Clothing,Supplier A,South,335.84,Organic,Returned,,09-06-2025,1,0.428254798
ORD100528,Electronics,Supplier A,South,338.66,Organic,Not Returned,,12-06-2025,0,0.420862627
ORD100534,Books,Supplier C,East,277.86,Email,Not Returned,Damaged,18-06-2025,0,0.429183248
ORD100536,Electronics,Supplier D,South,488.63,Ads,Not Returned,Changed Mind,20-06-2025,0,0.438015788
ORD100540,Books,Supplier A,West,372.55,Social Media,Not Returned,,24-06-2025,0,0.434914021
ORD100542,Beauty,Supplier C,West,147.22,Ads,Not Returned,,26-06-2025,0,0.425590835
ORD100543,Books,Supplier A,South,430.59,Social Media,Not Returned,Wrong Item,27-06-2025,0,0.435927852
ORD100546,Beauty,Supplier B,West,379.44,Email,Returned,,30-06-2025,1,0.422152954
ORD100548,Clothing,Supplier A,South,18.82,Ads,Not Returned,,02-07-2025,0,0.413496745
ORD100550,Electronics,Supplier D,East,366.07,Social Media,Not Returned,,04-07-2025,0,0.418229228
ORD100551,Clothing,Supplier A,West,159.33,Social Media,Not Returned,,05-07-2025,0,0.42423483
ORD100552,Beauty,Supplier B,South,416.4,Email,Not Returned,,06-07-2025,0,0.421666859
ORD100555,Clothing,Supplier A,East,65.16,Organic,Not Returned,,09-07-2025,0,0.400493562
ORD100556,Toys,Supplier A,West,354.81,Organic,Not Returned,,10-07-2025,0,0.400430238
ORD100559,Electronics,Supplier D,South,128.53,Ads,Returned,,13-07-2025,1,0.412481911
ORD100561,Clothing,Supplier A,East,239.7,Email,Not Returned,Late Delivery,15-07-2025,0,0.439034069
ORD100564,Beauty,Supplier A,South,155.65,Email,Returned,,18-07-2025,1,0.449914656
ORD100566,Beauty,Supplier A,East,374.16,Email,Returned,Wrong Item,20-07-2025,1,0.456735095
ORD100569,Beauty,Supplier C,East,427.61,Email,Not Returned,,23-07-2025,0,0.452427472
ORD100570,Beauty,Supplier D,South,337.22,Email,Returned,,24-07-2025,1,0.461756732
ORD100572,Books,Supplier D,South,447.23,Organic,Not Returned,,26-07-2025,0,0.430481373
ORD100573,Clothing,Supplier A,South,100.81,Social Media,Not Returned,,27-07-2025,0,0.416997155
ORD100575,Electronics,Supplier A,South,127.36,Ads,Not Returned,,29-07-2025,0,0.41359868
ORD100579,Books,Supplier A,North,497.76,Social Media,Returned,,02-08-2025,1,0.404649652
ORD100580,Clothing,Supplier B,West,429.29,Email,Returned,Damaged,03-08-2025,1,0.41774263
ORD100581,Electronics,Supplier A,East,265.51,Ads,Returned,Other,04-08-2025,1,0.414618351
ORD100590,Toys,Supplier C,West,440.7,Ads,Not Returned,,13-08-2025,0,0.406080612
ORD100591,Electronics,Supplier A,South,290.17,Email,Returned,,14-08-2025,1,0.443831212
ORD100593,Toys,Supplier A,West,220.91,Email,Not Returned,,16-08-2025,0,0.417060578
ORD100594,Books,Supplier D,North,165.3,Email,Not Returned,,17-08-2025,0,0.400846942
ORD100597,Beauty,Supplier A,South,304.94,Organic,Not Returned,,20-08-2025,0,0.43404397
ORD100600,Electronics,Supplier D,South,307.47,Ads,Not Returned,,23-08-2025,0,0.425120243
ORD100601,Books,Supplier C,West,319.34,Email,Not Returned,,24-08-2025,0,0.444099017
ORD100602,Books,Supplier D,South,299.93,Ads,Not Returned,,25-08-2025,0,0.427712416
ORD100603,Beauty,Supplier D,East,354.29,Email,Not Returned,Changed Mind,26-08-2025,0,0.454078423
ORD100607,Electronics,Supplier D,North,198.41,Email,Not Returned,,30-08-2025,0,0.400083877
ORD100608,Books,Supplier C,West,248.96,Ads,Not Returned,Late Delivery,31-08-2025,0,0.420382946
ORD100613,Beauty,Supplier D,East,258.07,Social Media,Not Returned,,05-09-2025,0,0.42611026
ORD100616,Books,Supplier A,West,134.65,Organic,Not Returned,Wrong Item,08-09-2025,0,0.412672205
ORD100617,Electronics,Supplier D,South,187.31,Organic,Not Returned,Damaged,09-09-2025,0,0.409000506
ORD100620,Beauty,Supplier D,South,78.61,Social Media,Not Returned,,12-09-2025,0,0.422155901
ORD100621,Books,Supplier C,West,145.64,Email,Returned,,13-09-2025,1,0.431692797
ORD100622,Beauty,Supplier D,South,486.05,Ads,Not Returned,,14-09-2025,0,0.453554352
